,player_name,player_url,teams,matches_played,runs_scored,hundreds,fifties,wickets,economy_rate,five_wicket_hauls,player_country,player_image,player_role,player_DOB,player_bat_hand,player_bowl_hand
0,Abdur Razzak,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3180,Royal Challengers Bangalore,1,0,0,0,0,14.5,0,Bangladesh,https://h.cricapi.com/img/players/f0258005-d781-4ed1-ac1c-f7ca68f49a01.jpg,Bowler,15-06-1982,Left,Left
1,Ajit Agarkar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2159,"Kolkata Knight Riders, Delhi Capitals",42,179,0,0,29,8.83,0,India,https://h.cricapi.com/img/players/34eb65c1-fe45-42ec-93e1-083ecde77e10.jpg,Bowler,04-12-1977,Right,Right
2,Balachandra Akhil,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4131,"Royal Challengers Bangalore, Kochi Tuskers Kerala",15,76,0,0,6,7.72,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,07-10-1977,Right,Right
3,Palani Amarnath,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4138,Chennai Super Kings,6,0,0,0,7,10.73,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowler,01-06-1982,Right,Right
4,Srikkanth Anirudha,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4136,"Chennai Super Kings, Sunrisers Hyderabad",20,136,0,1,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,14-04-1987,Right,Right
5,Jagadeesh Arunkumar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4170,Royal Challengers Bangalore,3,23,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,18-01-1975,Right,Right
6,Swapnil Asnodkar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4146,Rajasthan Royals,20,423,0,2,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batting Allrounder,29-03-1984,Right,Right
7,Subramaniam Badrinath,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3608,Chennai Super Kings,95,1441,0,11,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,30-08-1980,Right,Right
8,Lakshmipathy Balaji,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3057,"Chennai Super Kings, Kolkata Knight Riders, Punjab Kings",73,36,0,0,76,8.04,1,India,https://h.cricapi.com/img/players/985063a8-34f4-4b4f-af0e-affb83341ebe.jpg,Bowler,27-09-1981,Right,Right
9,Sanjay Bangar,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2999,"Deccan Chargers, Kolkata Knight Riders",12,49,0,0,4,8.76,0,India,https://h.cricapi.com/img/players/b27e98f1-5445-4683-8a5d-0e86ff740ba0.jpg,Batting Allrounder,11-10-1972,Right,Right
10,Rajat Bhatia,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4054,"Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant",95,342,0,0,71,7.33,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Bowling Allrounder,22-10-1979,Right,Right
11,Mark Boucher,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=2116,"Royal Challengers Bangalore, Kolkata Knight Riders",31,394,0,1,0,0.0,0,South Africa,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,WK-Batsman,03-12-1976,Right,Right
12,Dwayne Bravo,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3166,"Mumbai Indians, Chennai Super Kings, Gujarat Lions",161,1560,0,5,183,8.39,0,West Indies,https://h.cricapi.com/img/players/47454348-36f5-417b-8af6-090065a5895c.jpg,Batting Allrounder,07-10-1983,Right,Right
13,Shivnarine Chanderpaul,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=1979,Royal Challengers Bangalore,3,25,0,0,0,0.0,0,West Indies,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,16-08-1974,Left,Right
14,Piyush Chawla,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3351,"Punjab Kings, Kolkata Knight Riders, Chennai Super Kings, Mumbai Indians",181,609,0,0,179,7.91,0,India,https://h.cricapi.com/img/players/f236dae0-e7df-4084-a9b1-1bc3c7793f60.jpg,Bowler,24-12-1988,Left,Right
15,Bharat Chipli,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4157,"Royal Challengers Bangalore, Deccan Chargers, Delhi Capitals",23,280,0,1,0,20.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,27-01-1983,Right,Right
16,Siddharth Chitnis,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=4042,"Mumbai Indians, Rajasthan Royals, Punjab Kings",11,99,0,0,2,10.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,06-05-1987,Right,Right
17,Akash Chopra,http://www.howstat.com/cricket/statistics/IPL/PlayerOverview.asp?PlayerID=3136,Kolkata Knight Riders,7,53,0,0,0,0.0,0,India,https://us.v-cdn.net/6022045/uploads/defaultavatar.png,Batsman,19-09-1977,Right,Right
